name,team,opp,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,game_id_avg,awayorhome,status,player_id,jersey_num,position,starter,on_court,played,notplayingreason,notplayingdescription,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,pts_proj,reb_proj,ast_proj,stl_proj,blk_proj,tov_proj
Isaiah Joe,PHI,LAL,0022100733,1630198,32,18,14,0.563,12.8121875,1.28125,3.78125,0.339,0.90625,2.90625,0.312,0.5625,0.59375,0.947,0.15625,1.0625,1.21875,0.78125,0.28125,0.28125,0.0625,0.125,0.96875,0,4.03125,-4,0,0,0022100733,home,ACTIVE,1630198.0,7,nan,Bench,On Bench,1,nan,nan,0,0,0,1,1,1.0,0,0.0,0,0,0,0,0.0,13,9.101166666666666,21,8,3,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0.0,2022-01-27 22:09,Base Set,Common,2,Jump Shot,2020-12-28 00:30:00+00:00,Philadelphia 76ers,4000,3725.0,0.0,198.0,78.0,0.0,12.0,64,-1.54%,-1.54,-1.54,211.0,True,True,True,True,VISIBLE,872c5466-c213-4ee3-8a56-9952cc41205f,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+872c5466-c213-4ee3-8a56-9952cc41205f,-1.54%,4000,64,Jump Shot,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-Jump Shot,Base Set-Common-2-Jump Shot,66-80,-14,4.165983072916667,0.35250651041666664,0.22596571180555555,0.08134765625,0.018077256944444443,0.08134765625
Jaden Springer,PHI,LAL,0022100733,1630531,2,2,0,1.0,2.816666666666667,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0,1.0,-8,0,0,0022100733,home,INACTIVE,1630531.0,11,nan,Bench,On Bench,0,INACTIVE_GLEAGUE_ON_ASSIGNMENT,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,nan,nan,66-80,-14,0.2892361111111111,0.2892361111111111,0.0,0.0,0.2892361111111111,0.14461805555555554
Joel Embiid,PHI,LAL,0022100733,203954,36,25,11,0.694,32.824629629629634,9.416666666666666,18.88888888888889,0.499,1.2777777777777777,3.361111111111111,0.38,8.916666666666666,10.88888888888889,0.819,2.111111111111111,8.666666666666666,10.777777777777779,4.25,2.9166666666666665,0.9722222222222222,1.4444444444444444,1.1666666666666667,2.638888888888889,8,29.02777777777778,178,20,1,0022100733,home,ACTIVE,203954.0,21,C,Starter,In Game,1,nan,nan,5,2,3,17,6,0.352941176470588,1,7.0,2,0,11,6,0.545454545454545,55,27.866666666666667,69,14,18,5,10,1,8,1,9,1,5,0,0.0,2,12,6,0.5,2022-01-27 22:07,Base Set,Common,2,Jump Shot,2021-02-20 00:30:00+00:00,Philadelphia 76ers,40000,34049.0,0.0,3319.0,2649.0,0.0,12.0,12,0.00%,0.0,71.43,863.0,False,False,False,False,VISIBLE,c9e5350f-3227-4514-a813-8321542db9f2,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c9e5350f-3227-4514-a813-8321542db9f2,2.93%,1800,211,Dunk,2,Throwdowns,Rare,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-Jump Shot,Throwdowns-Rare-2-Dunk,66-80,-14,26.395881558641975,12.117322530864197,6.229253472222222,1.281201774691358,2.4177854938271603,2.843605324074074
Matisse Thybulle,PHI,LAL,0022100733,1629680,33,21,12,0.636,25.996414141414142,2.3333333333333335,4.878787878787879,0.478,0.696969696969697,2.515151515151515,0.277,0.30303030303030304,0.42424242424242425,0.714,0.5757575757575758,1.9090909090909092,2.484848484848485,1.121212121212121,0.696969696969697,1.8484848484848484,1.121212121212121,0.030303030303030304,2.272727272727273,0,5.666666666666667,10,0,0,0022100733,home,ACTIVE,1629680.0,22,SF,Starter,In Game,1,nan,nan,2,0,0,4,3,0.75,0,1.0,1,0,0,0,0.0,49,23.5655,57,8,6,2,6,0,2,0,2,4,1,0,0.0,1,3,3,1.0,2022-01-27 21:39,Base Set,Common,2,Steal,2021-01-26 00:00:00+00:00,Philadelphia 76ers,35000,31439.0,0.0,2345.0,1255.0,0.0,12.0,4,-20.00%,0.0,0.0,2125.0,False,False,False,False,VISIBLE,1098394e-13ef-4a89-8440-e60d6ba43508,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+1098394e-13ef-4a89-8440-e60d6ba43508,0.00%,1530,149,Block,1,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-Steal,Base Set-Common-1-Block,66-80,-14,7.63900462962963,2.7187079124579125,2.3242950336700336,4.5346485690235685,0.32429503367003365,1.2015888047138048
Myles Powell,PHI,LAL,0022100733,1629619,9,7,2,0.778,5.133333333333334,0.5555555555555556,1.7777777777777777,0.313,0.1111111111111111,0.5555555555555556,0.2,0.2222222222222222,0.2222222222222222,1.0,0.1111111111111111,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666666,0,1.4444444444444444,-13,0,0,0022100733,home,ACTIVE,1629619.0,5,nan,Bench,On Bench,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,nan,nan,66-80,-14,0.41778549382716046,0.16068672839506173,0.09641203703703703,0.032137345679012344,0.0,0.09641203703703703
Paul Reed,PHI,LAL,0022100733,1630194,21,10,11,0.476,8.788492063492063,0.9523809523809523,2.0476190476190474,0.465,0.0,0.19047619047619047,0.0,0.14285714285714285,0.38095238095238093,0.375,0.9523809523809523,1.2857142857142858,2.238095238095238,0.47619047619047616,0.3333333333333333,0.5714285714285714,0.47619047619047616,0.19047619047619047,1.3333333333333333,0,2.0476190476190474,-41,0,0,0022100733,home,INACTIVE,1630194.0,44,nan,Bench,On Bench,0,INACTIVE_GLEAGUE_ON_ASSIGNMENT,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-27 22:01,Base Set,Common,3,Block,2021-11-10 00:30:00+00:00,Philadelphia 76ers,12000,7981.0,0.0,819.0,3207.0,0.0,2.0,9,12.50%,28.57,12.5,230.0,True,nan,nan,nan,VISIBLE,2fe7ab09-9263-4460-90b1-6c61fc5083a8,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+2fe7ab09-9263-4460-90b1-6c61fc5083a8,12.50%,12000,9,Block,3,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-3-Block,Base Set-Common-3-Block,66-80,-14,0.5922453703703703,0.647337962962963,0.13773148148148148,0.16527777777777777,0.13773148148148148,0.09641203703703703
Seth Curry,PHI,LAL,0022100733,203552,40,24,16,0.6,34.810208333333335,5.975,11.75,0.509,2.275,5.45,0.417,1.6,1.825,0.877,0.375,3.025,3.4,3.975,1.9,0.8,0.225,0.225,2.15,1,15.825,128,1,0,0022100733,home,INACTIVE,203552.0,31,nan,Bench,On Bench,0,INACTIVE_INJURY,Left Ankle; Soreness ,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-27 22:02,Base Set,Common,3,Layup,2021-11-12 00:00:00+00:00,Philadelphia 76ers,60000,31894.0,0.0,12208.0,18902.0,0.0,2.0,3,0.00%,0.0,0.0,2562.0,nan,nan,nan,nan,VISIBLE,24c03bd1-7f95-4ae2-b436-592610edd02f,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+24c03bd1-7f95-4ae2-b436-592610edd02f,0.00%,3340,60,Assist,1,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-3-Layup,Base Set-Common-1-Assist,66-80,-14,4.577161458333332,0.9834027777777777,1.1497135416666666,0.23138888888888887,0.065078125,0.5495486111111111
Shake Milton,PHI,LAL,0022100733,1629003,27,15,12,0.556,24.75191358024691,4.037037037037037,9.407407407407407,0.429,0.9259259259259259,2.925925925925926,0.316,1.5185185185185186,1.7777777777777777,0.854,0.48148148148148145,2.5185185185185186,3.0,2.7777777777777777,1.1481481481481481,0.7407407407407407,0.4074074074074074,0.4444444444444444,2.074074074074074,2,10.518518518518519,-12,0,0,0022100733,home,INACTIVE,1629003.0,18,nan,Bench,On Bench,0,INACTIVE_INJURY,Back; Contusion ,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2022-01-27 22:05,2021 NBA Playoffs,Common,2,3 Pointer,2021-06-08 23:30:00+00:00,Philadelphia 76ers,11500,10922.0,0.0,578.0,54.0,0.0,20.0,8,0.00%,0.0,0.0,457.0,False,False,False,False,VISIBLE,e1c4a5f0-6040-4298-999f-8cbd585b80a4,6783b9d8-44c5-49c7-87e0-be217af963e9,https://nbatopshot.com/listings/p2p/6783b9d8-44c5-49c7-87e0-be217af963e9+e1c4a5f0-6040-4298-999f-8cbd585b80a4,0.00%,12000,10,Jump Shot,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,2021 NBA Playoffs-Common-2-3 Pointer,Base Set-Common-2-Jump Shot,66-80,-14,3.042335390946502,0.8677083333333333,0.8034336419753086,0.21424897119341563,0.1178369341563786,0.3320859053497942
Tobias Harris,PHI,LAL,0022100733,202699,38,22,16,0.579,35.095043859649124,7.078947368421052,15.105263157894736,0.469,1.1842105263157894,3.6052631578947367,0.328,3.263157894736842,3.8157894736842106,0.855,1.131578947368421,6.368421052631579,7.5,3.763157894736842,1.6578947368421053,0.6578947368421053,0.631578947368421,1.263157894736842,2.0526315789473686,2,18.605263157894736,44,7,1,0022100733,home,ACTIVE,202699.0,12,PF,Starter,On Bench,1,nan,nan,3,0,2,12,7,0.583333333333333,0,0.0,0,0,0,0,0.0,52,26.25,53,1,17,0,8,0,4,0,4,1,5,3,0.6,1,7,4,0.5714285714285711,2022-01-27 22:03,Base Set,Common,3,Layup,2021-10-30 23:30:00+00:00,Philadelphia 76ers,60000,36276.0,0.0,11101.0,15427.0,0.0,2.0,3,0.00%,0.0,50.0,2849.0,nan,nan,nan,nan,VISIBLE,cba0cf7d-e0a5-40f1-a16e-7c67a7f32278,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+cba0cf7d-e0a5-40f1-a16e-7c67a7f32278,11.90%,3999,47,Dunk,1,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-3-Layup,Base Set-Common-1-Dunk,66-80,-14,22.381313961988305,6.169270833333333,4.08844115497076,1.1902869152046784,0.1826754385964912,1.4795230263157895
Tyler Johnson,PHI,LAL,0022100733,204020,3,2,1,0.667,12.719444444444443,1.3333333333333333,3.3333333333333335,0.4,1.0,2.3333333333333335,0.429,0.0,0.0,0.0,0.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1,3.6666666666666665,9,0,0,0022100733,home,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,nan,nan,66-80,-14,1.0605324074074072,0.5784722222222222,0.19282407407407406,0.09641203703703703,0.09641203703703703,0.09641203703703703
Tyrese Maxey,PHI,LAL,0022100733,1630178,40,22,18,0.55,35.311416666666666,6.2,13.325,0.465,1.425,3.475,0.41,2.725,3.1,0.879,0.375,3.05,3.425,4.475,1.175,0.65,0.5,0.775,2.125,2,16.55,35,0,0,0022100733,home,ACTIVE,1630178.0,0,PG,Starter,In Game,1,nan,nan,8,1,1,10,5,0.5,0,2.0,3,0,4,2,0.5,54,28.348666666666666,71,17,14,0,6,0,4,0,4,0,4,2,0.5,1,6,3,0.5,2022-01-27 21:42,Base Set,Common,2,Layup,2020-12-24 00:00:00+00:00,Philadelphia 76ers,4000,3810.0,0.0,186.0,4.0,0.0,12.0,297,8.00%,8.0,-7.19,180.0,True,True,True,True,VISIBLE,6d0f4982-015d-4e5c-8e46-0e8a8f9949ac,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+6d0f4982-015d-4e5c-8e46-0e8a8f9949ac,8.00%,4000,297,Layup,2,Base Set,Common,1610612747,66,LAL,01:53.00,Q3 01:53,1610612755,80,PHI,3,2022-01-27 19:30:00-05:00,Base Set-Common-2-Layup,Base Set-Common-2-Layup,66-80,-14,18.78685763888889,4.990633680555556,9.294331597222222,0.18800347222222222,1.1446180555555556,1.3398524305555555
Anthony Edwards,MIN,GSW,0022100734,1630162,41,21,20,0.512,35.111382113821136,8.21951219512195,18.4390243902439,0.446,3.317073170731707,8.829268292682928,0.376,2.902439024390244,3.658536585365854,0.793,1.024390243902439,4.146341463414634,5.170731707317073,3.4878048780487805,3.0,1.5609756097560976,0.7073170731707317,0.6585365853658537,2.3658536585365852,2,22.658536585365855,145,3,0,0022100734,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,2022-01-27 21:39,Base Set,Common,2,Dunk,2021-01-26 03:00:00+00:00,Minnesota Timberwolves,40000,35808.0,0.0,2499.0,1694.0,0.0,12.0,60,0.00%,-4.76,-7.69,1775.0,False,False,True,True,VISIBLE,d5321f63-952c-42d5-bf43-9ea99e4e37ce,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d5321f63-952c-42d5-bf43-9ea99e4e37ce,0.00%,1800,414,Dunk,2,Throwdowns,Rare,1610612750,0,MIN,,10:00 pm ET,1610612744,0,GSW,0,2022-01-27 22:00:00-05:00,Base Set-Common-2-Dunk,Throwdowns-Rare-2-Dunk,0-0,0,22.658536585365855,5.170731707317073,3.4878048780487805,1.5609756097560976,0.7073170731707317,3.0
Chris Silva,MIN,GSW,0022100734,1629735,1,1,0,1.0,3.4616666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-6,0,0,0022100734,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612750,0,MIN,,10:00 pm ET,1610612744,0,GSW,0,2022-01-27 22:00:00-05:00,nan,nan,0-0,0,0.0,1.0,0.0,0.0,0.0,0.0
D'Angelo Russell,MIN,GSW,0022100734,1626156,37,22,15,0.595,32.55936936936937,6.594594594594595,16.027027027027028,0.411,3.027027027027027,8.567567567567568,0.353,2.891891891891892,3.5405405405405403,0.817,0.32432432432432434,3.27027027027027,3.5945945945945947,6.972972972972973,2.7027027027027026,0.9459459459459459,0.5135135135135135,0.5135135135135135,2.2162162162162162,3,19.10810810810811,192,8,0,0022100734,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,2022-01-27 22:02,Base Set,Common,3,Handles,2021-11-25 01:00:00+00:00,Minnesota Timberwolves,9999,6729.0,0.0,1244.0,2039.0,0.0,2.0,27,-12.90%,-10.0,-12.9,174.0,nan,nan,nan,nan,VISIBLE,1acc9155-ebeb-4060-ba1d-db8d42a1cc76,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+1acc9155-ebeb-4060-ba1d-db8d42a1cc76,0.00%,2879,118,Block,1,Base Set,Common,1610612750,0,MIN,,10:00 pm ET,1610612744,0,GSW,0,2022-01-27 22:00:00-05:00,Base Set-Common-3-Handles,Base Set-Common-1-Block,0-0,0,19.10810810810811,3.5945945945945947,6.972972972972973,0.9459459459459459,0.5135135135135135,2.7027027027027026
Greg Monroe,MIN,GSW,0022100734,202328,3,1,2,0.333,21.044444444444444,3.0,4.666666666666667,0.643,0.0,0.0,0.0,0.6666666666666666,1.6666666666666667,0.4,1.6666666666666667,5.333333333333333,7.0,3.6666666666666665,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.3333333333333335,1,6.666666666666667,-9,0,0,0022100734,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612750,0,MIN,,10:00 pm ET,1610612744,0,GSW,0,2022-01-27 22:00:00-05:00,nan,nan,0-0,0,6.666666666666667,7.0,3.6666666666666665,0.6666666666666666,1.3333333333333333,1.3333333333333333
Jaden McDaniels,MIN,GSW,0022100734,1630183,44,23,21,0.523,25.576704545454547,3.227272727272727,7.7727272727272725,0.415,0.9318181818181818,3.477272727272727,0.268,0.6590909090909091,0.8409090909090909,0.784,1.2954545454545454,3.0454545454545454,4.340909090909091,1.0,1.0909090909090908,0.8409090909090909,0.6590909090909091,0.5227272727272727,3.340909090909091,1,8.045454545454545,-72,0,0,0022100734,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,2022-01-27 22:08,Base Set,Common,2,Dunk,2021-04-01 00:00:00+00:00,Minnesota Timberwolves,40000,36461.0,0.0,2413.0,1138.0,0.0,12.0,8,0.00%,0.0,-11.11,834.0,False,False,True,True,VISIBLE,19d50757-4040-4f2a-b197-123c90cae3f3,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+19d50757-4040-4f2a-b197-123c90cae3f3,1.89%,4000,54,3 Pointer,2,Base Set,Common,1610612750,0,MIN,,10:00 pm ET,1610612744,0,GSW,0,2022-01-27 22:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-2-3 Pointer,0-0,0,8.045454545454545,4.340909090909091,1.0,0.8409090909090909,0.6590909090909091,1.0909090909090908
Jake Layman,MIN,GSW,0022100734,1627774,20,11,9,0.55,7.934916666666666,0.85,2.3,0.37,0.2,1.2,0.167,0.3,0.4,0.75,0.2,0.95,1.15,0.25,0.35,0.3,0.15,0.15,0.4,0,2.2,-38,0,0,0022100734,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,2022-01-27 22:06,Base Set,Common,2,Dunk,2021-02-01 01:00:00+00:00,Minnesota Timberwolves,12000,9982.0,0.0,1200.0,821.0,0.0,12.0,18,0.00%,0.0,5.88,260.0,True,False,False,False,VISIBLE,3ed31b5b-eeb5-4c6c-bb77-3c722d5bd813,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3ed31b5b-eeb5-4c6c-bb77-3c722d5bd813,0.00%,12000,18,Dunk,2,Base Set,Common,1610612750,0,MIN,,10:00 pm ET,1610612744,0,GSW,0,2022-01-27 22:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-2-Dunk,0-0,0,2.2,1.15,0.25,0.3,0.15,0.35
Jarred Vanderbilt,MIN,GSW,0022100734,1629020,42,22,20,0.524,26.03972222222222,2.9285714285714284,4.9523809523809526,0.591,0.047619047619047616,0.23809523809523808,0.2,1.0476190476190477,1.619047619047619,0.647,3.238095238095238,5.928571428571429,9.166666666666666,1.4523809523809523,1.0714285714285714,1.5952380952380953,0.7142857142857143,0.6666666666666666,2.761904761904762,1,6.9523809523809526,150,6,0,0022100734,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,2022-01-27 22:01,Base Set,Common,3,Dunk,2021-12-18 03:00:00+00:00,Minnesota Timberwolves,60000,12451.0,0.0,3509.0,44454.0,0.0,2.0,5,0.00%,0.0,0.0,451.0,nan,nan,nan,nan,VISIBLE,f869f767-3cce-49e4-a323-68d675fe7a6b,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+f869f767-3cce-49e4-a323-68d675fe7a6b,5.13%,12000,41,Dunk,2,Base Set,Common,1610612750,0,MIN,,10:00 pm ET,1610612744,0,GSW,0,2022-01-27 22:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-2-Dunk,0-0,0,6.9523809523809526,9.166666666666666,1.4523809523809523,1.5952380952380953,0.7142857142857143,1.0714285714285714
Jaylen Nowell,MIN,GSW,0022100734,1629669,32,19,13,0.594,14.709947916666666,3.21875,6.65625,0.484,0.875,2.40625,0.364,1.03125,1.40625,0.733,0.3125,1.8125,2.125,2.125,0.53125,0.53125,0.1875,0.3125,1.0625,1,8.34375,-12,0,0,0022100734,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,2022-01-27 22:01,Base Set,Common,3,Dunk,2021-12-28 01:00:00+00:00,Minnesota Timberwolves,12000,7840.0,0.0,460.0,3702.0,0.0,2.0,30,3.45%,0.0,-14.29,258.0,True,nan,nan,nan,VISIBLE,64d91ee1-bbcc-4b5a-a56c-968b803a7492,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+64d91ee1-bbcc-4b5a-a56c-968b803a7492,3.45%,12000,30,Dunk,3,Base Set,Common,1610612750,0,MIN,,10:00 pm ET,1610612744,0,GSW,0,2022-01-27 22:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-3-Dunk,0-0,0,8.34375,2.125,2.125,0.53125,0.1875,0.53125
Jordan McLaughlin,MIN,GSW,0022100734,1629162,29,15,14,0.517,10.883505747126437,0.7241379310344828,2.5517241379310347,0.284,0.13793103448275862,0.9655172413793104,0.143,0.5172413793103449,0.7586206896551724,0.682,0.20689655172413793,0.8275862068965517,1.0344827586206897,2.2758620689655173,0.6551724137931034,0.6206896551724138,0.034482758620689655,0.3103448275862069,0.4482758620689655,0,2.103448275862069,-78,0,0,0022100734,away,nan,nan,nan,nan,None,None,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,2022-01-27 22:07,Base Set,Common,2,Layup,2021-04-05 23:00:00+00:00,Minnesota Timberwolves,40000,33944.0,0.0,3674.0,2433.0,1.0,12.0,7,0.00%,0.0,-12.5,723.0,False,False,False,False,VISIBLE,d42469c1-4f3d-4228-8b28-5caa96a6fa6b,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d42469c1-4f3d-4228-8b28-5caa96a6fa6b,0.00%,3999,58,Dunk,1,Base Set,Common,1610612750,0,MIN,,10:00 pm ET,1610612744,0,GSW,0,2022-01-27 22:00:00-05:00,Base Set-Common-2-Layup,Base Set-Common-1-Dunk,0-0,0,2.103448275862069,1.0344827586206897,2.2758620689655173,0.6206896551724138,0.034482758620689655,0.6551724137931034
