NAME,TEAM,FTM_AVG,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,COUNT_EASY,LOW_ASK_EASY,4HCHANGE %,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE%
Cody Martin,CHA,1.19,Base Set,Common,3,Dunk,60000,2.00,-33.33,Base Set,Common,2,Steal,12000,33.00,-2.94
George Hill,MIL,1.18,Base Set,Common,3,3 Pointer,60000,3.00,0.00,Base Set,Common,1,Steal,2486,125.00,0.00
Jakob Poeltl,SAS,1.18,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Block,2694,40.00,0.00
De'Anthony Melton,MEM,1.18,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,9.00,0.00
Terence Davis,SAC,1.17,Base Set,Common,3,Assist,60000,2.00,-33.33,Throwdowns,Rare,2,Dunk,1800,76.00,0.00
Caleb Martin,MIA,1.16,Base Set,Common,3,Layup,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,10.00,0.00
Derrick Rose,NYK,1.15,Base Set,Common,3,Assist,60000,3.00,0.00,Base Set,Common,1,Jump Shot,1000,287.00,-0.35
R.J. Hampton,ORL,1.14,Base Set,Common,3,Layup,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,18.00,5.88
Chris Silva,MIA,1.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dennis Smith Jr.,POR,1.14,Base Set,Common,2,Dunk,40000,4.00,33.33,Base Set,Common,1,Handles,2987,35.00,0.00
Cedi Osman,CLE,1.14,Base Set,Common,2,Block,40000,4.00,-20.00,Base Set,Common,1,Assist,3999,29.00,0.00
P.J. Washington,CHA,1.13,Base Set,Common,3,Layup,60000,3.00,0.00,Base Set,Common,1,Dunk,3999,58.00,-3.33
Alex Len,SAC,1.13,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,9.00,0.00
Blake Griffin,BKN,1.11,Base Set,Common,3,Jump Shot,60000,3.00,0.00,Base Set,Common,2,Jump Shot,12000,15.00,0.00
Nikola Vucevic,CHI,1.10,Base Set,Common,3,Block,60000,3.00,0.00,Base Set,Common,1,Dunk,1434,103.00,14.44
Javonte Green,CHI,1.10,Base Set,Common,3,Dunk,60000,2.00,-33.33,Base Set,Common,2,Dunk,12000,12.00,0.00
Bryn Forbes,SAS,1.10,Base Set,Common,3,Handles,60000,3.00,0.00,Base Set,Common,2,3 Pointer,12000,10.00,0.00
Isaiah Hartenstein,LAC,1.09,Base Set,Common,3,Dunk,60000,2.00,-33.33,Base Set,Common,2,Dunk,12000,7.00,0.00
Lance Stephenson,IND,1.08,Base Set,Common,3,3 Pointer,12000,17.00,6.25,Base Set,Common,3,3 Pointer,12000,17.00,6.25
Moses Brown,DAL,1.08,Base Set,Common,2,Dunk,12000,10.00,11.11,Base Set,Common,2,Dunk,12000,10.00,11.11
Dewayne Dedmon,MIA,1.08,Base Set,Common,3,Dunk,12000,8.00,14.29,Base Set,Common,3,Dunk,12000,8.00,14.29
Facundo Campazzo,DEN,1.07,Base Set,Common,3,Layup,60000,3.00,0.00,Rising Stars,Rare,2,Assist,2021,124.00,3.33
Keon Johnson,LAC,1.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tristan Thompson,SAC,1.07,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,9.00,0.00
Mikal Bridges,PHX,1.04,Base Set,Common,3,Dunk,60000,2.00,0.00,Base Set,Common,1,Dunk,3999,49.00,0.00
JaMychal Green,DEN,1.03,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Dunk,2850,29.00,0.00
Kyle Anderson,MEM,1.03,Base Set,Common,2,Dunk,40000,4.00,0.00,Holo Icon,Legendary,2,Layup,99,2099.00,18.65
Grayson Allen,MIL,1.02,Base Set,Common,3,Layup,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,10.00,0.00
Landry Shamet,PHX,1.02,Base Set,Common,3,Block,60000,3.00,0.00,Base Set,Common,1,Dunk,2851,33.00,0.00
Evan Fournier,NYK,1.02,Base Set,Common,2,Layup,35000,5.00,0.00,Base Set,Common,1,3 Pointer,3999,33.00,0.00
Justin Anderson,CLE,1.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Luke Kornet,CLE,1.00,Base Set,Common,1,Dunk,3999,33.00,0.00,Base Set,Common,1,Dunk,3999,33.00,0.00
Justin Anderson,IND,1.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chimezie Metu,SAC,1.00,Base Set,Common,3,3 Pointer,60000,3.00,50.00,Base Set,Common,2,Block,12000,18.00,5.88
Cameron Oliver,ATL,1.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wes Iwundu,ATL,1.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bryn Forbes,DEN,1.00,Base Set,Common,3,Handles,60000,3.00,0.00,Base Set,Common,2,3 Pointer,12000,10.00,0.00
Rayjon Tucker,DEN,1.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Zeke Nnaji,DEN,1.00,Base Set,Common,2,Dunk,12000,27.00,0.00,Base Set,Common,2,Dunk,12000,27.00,0.00
David Duke Jr.,BKN,1.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniel Oturu,TOR,1.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Paris Bass,PHX,1.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Eric Paschall,UTA,1.00,Base Set,Common,2,Layup,40000,5.00,0.00,Base Set,Common,1,Dunk,1257,86.00,1.18
Reggie Perry,POR,1.00,Base Set,Common,2,Layup,4000,43.00,2.38,Base Set,Common,2,Layup,4000,43.00,2.38
Bones Hyland,DEN,0.97,Base Set,Common,3,Jump Shot,4000,189.00,2.16,Base Set,Common,3,Jump Shot,4000,189.00,2.16
Bogdan Bogdanovic,ATL,0.96,Base Set,Common,2,Layup,40000,5.00,25.00,Base Set,Common,1,Assist,3345,37.00,0.00
Jae Crowder,PHX,0.95,Base Set,Common,2,3 Pointer,40000,4.00,0.00,Base Set,Common,1,Assist,1240,65.00,0.00
Goga Bitadze,IND,0.93,Base Set,Common,2,Layup,12000,23.00,15.00,Base Set,Common,2,Layup,12000,23.00,15.00
Precious Achiuwa,TOR,0.91,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Dunk,4000,45.00,0.00
Brad Wanamaker,IND,0.91,Base Set,Common,2,Layup,12000,32.00,0.00,Base Set,Common,2,Layup,12000,32.00,0.00
Omer Yurtseven,MIA,0.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Marko Simonovic,CHI,0.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Duane Washington Jr.,IND,0.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Luke Kennard,LAC,0.87,Base Set,Common,2,3 Pointer,12000,19.00,-9.52,Base Set,Common,2,3 Pointer,12000,19.00,-9.52
Isaiah Jackson,IND,0.87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Larry Nance Jr.,POR,0.86,Base Set,Common,2,Dunk,35000,4.00,0.00,Base Set,Common,1,Dunk,1500,35.00,-2.78
Robin Lopez,ORL,0.86,Base Set,Common,3,Assist,60000,3.00,0.00,Base Set,Common,2,Jump Shot,12000,18.00,0.00
Max Strus,MIA,0.86,Base Set,Common,3,Layup,60000,2.00,-33.33,Base Set,Common,2,Dunk,12000,12.00,9.09
Xavier Tillman,MEM,0.84,Base Set,Common,2,Dunk,40000,5.00,0.00,Base Set,Common,2,Dunk,4000,39.00,0.00
Oshae Brissett,IND,0.81,Base Set,Common,3,Dunk,12000,13.00,0.00,Base Set,Common,3,Dunk,12000,13.00,0.00
Cam Thomas,BKN,0.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Patrick Williams,CHI,0.80,Base Set,Common,2,Dunk,40000,8.00,14.29,Base Set,Common,2,Layup,4000,105.00,0.00
Jalen McDaniels,CHA,0.79,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Devin Vassell,SAS,0.79,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,3 Pointer,4000,68.00,0.00
Gabe Vincent,MIA,0.79,Base Set,Common,3,Dunk,12000,15.00,0.00,Base Set,Common,3,Dunk,12000,15.00,0.00
Dorian Finney-Smith,DAL,0.78,Base Set,Common,2,Dunk,12000,29.00,3.57,Base Set,Common,2,Dunk,12000,29.00,3.57
Tyus Jones,MEM,0.78,Base Set,Common,1,Assist,3999,53.00,0.00,Base Set,Common,1,Assist,3999,53.00,0.00
Chuma Okeke,ORL,0.76,Base Set,Common,2,Dunk,40000,5.00,-16.67,Base Set,Common,2,Jump Shot,4000,40.00,-6.98
Mo Bamba,ORL,0.76,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Dunk,2767,53.00,0.00
Nerlens Noel,NYK,0.75,Base Set,Common,2,Block,15000,14.00,7.69,Base Set,Common,1,Dunk,3346,32.00,0.00
Trendon Watford,POR,0.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Keita Bates-Diop,SAS,0.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Justin Holiday,IND,0.74,Base Set,Common,3,Dunk,60000,2.00,-33.33,Base Set,Common,1,Layup,2767,29.00,-6.45
Mason Plumlee,CHA,0.74,Base Set,Common,2,Dunk,35000,4.00,0.00,Base Set,Common,2,Dunk,12000,7.00,0.00
Yuta Watanabe,TOR,0.74,Base Set,Common,2,Layup,12000,15.00,0.00,Base Set,Common,2,Layup,12000,15.00,0.00
Duncan Robinson,MIA,0.73,Base Set,Common,2,3 Pointer,40000,5.00,25.00,Base Set,Common,1,3 Pointer,1959,59.00,0.00
Maxi Kleber,DAL,0.72,Base Set,Common,2,3 Pointer,15000,24.00,0.00,Base Set,Common,1,Dunk,3999,51.00,0.00
Day'Ron Sharpe,BKN,0.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Marquese Chriss,DAL,0.71,Base Set,Common,1,Dunk,3999,38.00,0.00,Base Set,Common,1,Dunk,3999,38.00,0.00
Svi Mykhailiuk,TOR,0.71,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,3 Pointer,3999,27.00,0.00
Delon Wright,ATL,0.71,Base Set,Common,2,Assist,35000,4.00,0.00,Base Set,Common,1,Layup,2092,50.00,11.11
Nick Richards,CHA,0.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bruce Brown,BKN,0.70,Base Set,Common,2,3 Pointer,40000,4.00,0.00,Base Set,Common,1,Dunk,3339,35.00,0.00
Trey Burke,DAL,0.70,Base Set,Common,3,Layup,60000,2.00,0.00,Base Set,Common,2,Layup,12000,8.00,0.00
Monte Morris,DEN,0.69,2021 NBA Playoffs,Common,2,3 Pointer,12000,16.00,0.00,Base Set,Common,2,Handles,12000,18.00,5.88
Jock Landale,SAS,0.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Patty Mills,BKN,0.69,Base Set,Common,2,Jump Shot,40000,9.00,0.00,Base Set,Common,1,Steal,3167,62.00,5.08
Taj Gibson,NYK,0.68,Base Set,Common,2,Dunk,12000,17.00,-5.56,Base Set,Common,2,Dunk,12000,17.00,-5.56
Keifer Sykes,IND,0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wayne Selden,NYK,0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Malcolm Hill,CHI,0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jaylen Morris,SAS,0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carlik Jones,DAL,0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cameron McGriff,POR,0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Royce O'Neale,UTA,0.66,Base Set,Common,2,Dunk,12000,24.00,14.29,Base Set,Common,2,Dunk,12000,24.00,14.29
P.J. Tucker,MIA,0.66,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,Layup,3999,30.00,3.45
Ben McLemore,POR,0.66,Base Set,Common,2,3 Pointer,40000,5.00,25.00,2021 NBA Playoffs,Common,2,3 Pointer,12000,14.00,7.69
Pat Connaughton,MIL,0.65,Base Set,Common,2,Assist,12000,24.00,4.35,Base Set,Common,2,Assist,12000,24.00,4.35
Vlatko Cancar,DEN,0.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kevin Huerter,ATL,0.64,Base Set,Common,2,Layup,40000,5.00,25.00,Base Set,Common,1,Assist,1253,60.00,0.00
Ayo Dosunmu,CHI,0.62,Base Set,Common,3,Layup,4000,262.00,0.77,Base Set,Common,3,Layup,4000,262.00,0.77
Lonzo Ball,CHI,0.60,Base Set,Common,2,3 Pointer,15000,30.00,0.00,Base Set,Common,1,Assist,3999,99.00,0.00
Tre Jones,SAS,0.59,Base Set,Common,2,Layup,4000,69.00,1.47,Base Set,Common,2,Layup,4000,69.00,1.47
Doug McDermott,SAS,0.59,Base Set,Common,2,Dunk,12000,14.00,0.00,Base Set,Common,2,Dunk,12000,14.00,0.00
JT Thor,CHA,0.58,Base Set,Common,3,Dunk,12000,26.00,8.33,Base Set,Common,3,Dunk,12000,26.00,8.33
Torrey Craig,IND,0.56,2021 NBA Playoffs,Common,2,Dunk,11500,24.00,0.00,Base Set,Common,1,Block,3340,95.00,0.00
Michael Porter Jr.,DEN,0.56,Base Set,Common,2,Dunk,35000,5.00,0.00,Rising Stars,Rare,2,3 Pointer,2021,158.00,0.64
P.J. Dozier,DEN,0.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
James Bouknight,CHA,0.55,Base Set,Common,3,Dunk,12000,38.00,2.70,Base Set,Common,3,Dunk,12000,38.00,2.70
Timothe Luwawu-Cabarrot,ATL,0.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kevin Knox II,NYK,0.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Thanasis Antetokounmpo,MIL,0.54,Base Set,Common,3,Dunk,60000,2.00,0.00,Base Set,Common,2,Dunk,12000,15.00,0.00
Nicolas Batum,LAC,0.54,2021 NBA Playoffs,Common,2,Dunk,11500,10.00,0.00,Base Set,Common,2,Block,12000,12.00,9.09
Gorgui Dieng,ATL,0.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Semi Ojeleye,MIL,0.53,Base Set,Common,2,Layup,12000,7.00,0.00,Base Set,Common,2,Layup,12000,7.00,0.00
Dalano Banton,TOR,0.53,Base Set,Common,3,3 Pointer,4000,84.00,0.00,Base Set,Common,3,3 Pointer,4000,84.00,0.00
Frank Ntilikina,DAL,0.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Davion Mitchell,SAC,0.52,Base Set,Common,3,Jump Shot,4000,129.00,3.20,Base Set,Common,3,Jump Shot,4000,129.00,3.20
Trent Forrest,UTA,0.51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Robert Covington,POR,0.51,Base Set,Common,2,Assist,12000,63.00,-7.35,Base Set,Common,2,Assist,12000,63.00,-7.35
Lamar Stevens,CLE,0.50,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,15.00,0.00
Scottie Lewis,CHA,0.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Vernon Carey Jr.,CHA,0.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
T.J. McConnell,IND,0.50,Base Set,Common,3,Layup,60000,3.00,0.00,Base Set,Common,1,Assist,1500,36.00,0.00
Tim Frazier,ORL,0.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Neemias Queta,SAC,0.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Markieff Morris,MIA,0.50,Base Set,Common,2,Dunk,40000,5.00,0.00,Base Set,Common,1,3 Pointer,1915,56.00,1.82
Paul Millsap,BKN,0.50,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Layup,12000,18.00,0.00
Ziaire Williams,MEM,0.50,Base Set,Common,3,3 Pointer,4000,110.00,3.77,Base Set,Common,3,3 Pointer,4000,110.00,3.77
Joshua Primo,SAS,0.50,Base Set,Common,3,3 Pointer,4000,83.00,1.22,Base Set,Common,3,3 Pointer,4000,83.00,1.22
Boban Marjanovic,DAL,0.50,Base Set,Common,3,Layup,60000,3.00,0.00,Base Set,Common,1,Dunk,2681,42.00,0.00
Eugene Omoruyi,DAL,0.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CJ Elleby,POR,0.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Troy Brown Jr.,CHI,0.49,Base Set,Common,2,Block,15000,12.00,9.09,Base Set,Common,1,Jump Shot,1500,35.00,-7.89
Serge Ibaka,LAC,0.48,Base Set,Common,2,Dunk,15000,25.00,4.17,Metallic Gold LE,Rare,2,Block,499,194.00,-2.51
Santi Aldama,MEM,0.46,Base Set,Common,3,3 Pointer,4000,42.00,2.44,Base Set,Common,3,3 Pointer,4000,42.00,2.44
Devon Dotson,CHI,0.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Georgios Kalaitzakis,MIL,0.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kyle Guy,MIA,0.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Josh Green,DAL,0.44,Base Set,Common,2,Dunk,12000,26.00,0.00,Base Set,Common,2,Dunk,12000,26.00,0.00
Abdel Nader,PHX,0.43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DeAndre' Bembry,BKN,0.43,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Layup,12000,10.00,0.00
Markus Howard,DEN,0.41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jarrett Culver,MEM,0.41,Base Set,Common,2,Dunk,15000,18.00,0.00,Base Set,Common,1,Dunk,3999,59.00,0.00
Justise Winslow,LAC,0.41,Base Set,Common,2,Jump Shot,12000,9.00,12.50,Base Set,Common,2,Jump Shot,12000,9.00,12.50
Austin Rivers,DEN,0.41,Base Set,Common,2,3 Pointer,40000,4.00,-20.00,Base Set,Common,1,Handles,3339,79.00,0.00
Ish Smith,CHA,0.40,Base Set,Common,3,Assist,60000,3.00,50.00,Base Set,Common,1,Steal,3999,28.00,3.70
Tony Bradley,CHI,0.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Matt Thomas,CHI,0.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
John Konchar,MEM,0.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Skylar Mays,ATL,0.39,Base Set,Common,2,Dunk,12000,20.00,-4.76,Base Set,Common,2,Dunk,12000,20.00,-4.76
Javonte Smart,MIL,0.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ignas Brazdeikis,ORL,0.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KZ Okpala,MIA,0.38,Base Set,Common,2,Layup,12000,7.00,0.00,Base Set,Common,2,Layup,12000,7.00,0.00
Jordan Nwora,MIL,0.38,Base Set,Common,3,Block,60000,3.00,0.00,Base Set,Common,2,3 Pointer,4000,200.00,0.00
Sandro Mamukelashvili,MIL,0.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hassani Gravett,ORL,0.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Udonis Haslem,MIA,0.38,Archive Set,Common,S21,Dunk,20000,5.00,0.00,Run It Back,Rare,1,Assist,275,399.00,0.00
Thaddeus Young,SAS,0.38,Base Set,Common,2,Dunk,40000,4.00,-20.00,Base Set,Common,1,Dunk,3999,28.00,0.00
Rodney Hood,MIL,0.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dean Wade,CLE,0.36,Base Set,Common,2,Dunk,12000,10.00,0.00,Base Set,Common,2,Dunk,12000,10.00,0.00
Jalen Johnson,ATL,0.36,Base Set,Common,3,3 Pointer,4000,63.00,0.00,Base Set,Common,3,3 Pointer,4000,63.00,0.00
Reggie Bullock,DAL,0.36,Base Set,Common,1,Steal,3999,53.00,8.16,Base Set,Common,1,Steal,3999,53.00,8.16
Joe Harris,BKN,0.36,Base Set,Common,2,Dunk,40000,4.00,-20.00,Base Set,Common,1,Layup,3999,31.00,0.00
Joe Ingles,UTA,0.36,Base Set,Common,2,3 Pointer,40000,6.00,0.00,Base Set,Common,1,Assist,3999,39.00,0.00
Brandon Goodwin,CLE,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kelan Martin,IND,0.33,Base Set,Common,3,Jump Shot,12000,7.00,16.67,Base Set,Common,3,Jump Shot,12000,7.00,16.67
Wenyen Gabriel,LAC,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Xavier Moon,LAC,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Freddie Gillespie,ORL,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jahmi'us Ramsey,SAC,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Maurice Harkless,SAC,0.33,Base Set,Common,2,Dunk,12000,15.00,7.14,Base Set,Common,2,Dunk,12000,15.00,7.14
Isaac Bonga,TOR,0.33,Base Set,Common,2,Assist,12000,8.00,0.00,Base Set,Common,2,Assist,12000,8.00,0.00
Justin Champagnie,TOR,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sam Merrill,MEM,0.33,Base Set,Common,2,3 Pointer,12000,22.00,0.00,Base Set,Common,2,3 Pointer,12000,22.00,0.00
Chandler Hutchison,PHX,0.33,Base Set,Common,2,Dunk,12000,9.00,12.50,Base Set,Common,2,Dunk,12000,9.00,12.50
Theo Pinson,DAL,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Greg Brown III,POR,0.33,Hustle and Show,Common,3,Dunk,18000,12.00,0.00,Base Set,Common,3,Dunk,4000,44.00,4.76
Elfrid Payton,PHX,0.31,Base Set,Common,2,Handles,12000,17.00,-5.56,Base Set,Common,2,Handles,12000,17.00,-5.56
Jay Scrubb,LAC,0.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jared Butler,UTA,0.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sterling Brown,DAL,0.28,Base Set,Common,2,Dunk,12000,7.00,0.00,Base Set,Common,2,Dunk,12000,7.00,0.00
Elijah Hughes,UTA,0.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Robert Woodard II,SAC,0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alize Johnson,CHI,0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
George King,DAL,0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Petr Cornelie,DEN,0.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Joe Wieskamp,SAS,0.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dylan Windler,CLE,0.22,Base Set,Common,2,3 Pointer,4000,81.00,0.00,Base Set,Common,2,3 Pointer,4000,81.00,0.00
Ed Davis,CLE,0.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jericho Sims,NYK,0.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Davon Reed,DEN,0.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Quentin Grimes,NYK,0.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
James Johnson,BKN,0.19,Base Set,Common,3,Dunk,60000,2.00,-33.33,Base Set,Common,2,Dunk,12000,7.00,0.00
Wesley Matthews,MIL,0.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tacko Fall,CLE,0.18,Base Set,Common,3,Block,60000,3.00,0.00,Base Set,Common,2,Block,12000,8.00,0.00
Killian Tillie,MEM,0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RJ Nembhard Jr.,CLE,0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lance Stephenson,ATL,0.17,Base Set,Common,3,3 Pointer,12000,17.00,6.25,Base Set,Common,3,3 Pointer,12000,17.00,6.25
Miles McBride,NYK,0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Marcus Garrett,MIA,0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kevin Pangos,CLE,0.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Malachi Flynn,TOR,0.15,Base Set,Common,2,Layup,12000,19.00,0.00,Base Set,Common,2,Layup,12000,19.00,0.00
Bol Bol,DEN,0.14,Base Set,Common,3,Steal,60000,3.00,0.00,Base Set,Common,1,Dunk,1643,92.00,2.22
Mychal Mulder,ORL,0.13,Base Set,Common,2,Layup,40000,4.00,0.00,Rising Stars,Rare,2,Dunk,2021,99.00,-1.00
Admiral Schofield,ORL,0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Udoka Azubuike,UTA,0.13,Base Set,Common,2,Dunk,4000,91.00,0.00,Base Set,Common,2,Dunk,4000,91.00,0.00
Justin Robinson,MIL,0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ish Wainright,PHX,0.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tony Snell,POR,0.09,Base Set,Common,2,3 Pointer,12000,16.00,0.00,Base Set,Common,2,3 Pointer,12000,16.00,0.00
