Time Stamp (EST),Player Name,Set,Tier,Series,Play,Date of Moment,Team,Circulation Count,Owned,Unique Owners,In Packs,Minted,Held by TS,Collector Score,Low Ask,4h,24h,7d,Listings,Top Shot Debut,Rookie Premiere,Rookie Mint,Rookie Year,Edition State,Play ID,Set ID,Top Shot Link
2022-01-28 22:11,James Harden,Base Set,Common,2,Layup,2021-01-16 23:00:00+00:00,Brooklyn Nets,35000,31961,0,2435,610,0,12,11.00,-15.38,-8.33,-15.38,2480,False,False,False,False,VISIBLE,ce5b9ba2-d1dc-4b7f-a5d8-ccb1e02b068f,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+ce5b9ba2-d1dc-4b7f-a5d8-ccb1e02b068f
2022-01-28 22:11,Josh Okogie,Base Set,Common,2,Assist,2021-01-24 01:00:00+00:00,Minnesota Timberwolves,40000,35587,0,3206,1255,0,12,7.00,0.00,0.00,-12.50,1914,False,False,False,False,VISIBLE,f2ff128f-99d4-491b-a77a-d6f96676b3a3,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+f2ff128f-99d4-491b-a77a-d6f96676b3a3
2022-01-28 22:10,Bradley Beal,Base Set,Common,2,Handles,2021-02-04 01:00:00+00:00,Washington Wizards,35000,31645,0,2160,1218,0,12,5.00,25.00,0.00,0.00,2496,False,False,False,False,VISIBLE,923f22d2-a9e9-4504-9bf6-28e8fa129322,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+923f22d2-a9e9-4504-9bf6-28e8fa129322
2022-01-28 22:10,Joe Ingles,Base Set,Common,2,3 Pointer,2021-01-24 02:00:00+00:00,Utah Jazz,40000,35245,0,3025,1787,0,12,6.00,0.00,0.00,0.00,1335,False,False,False,False,VISIBLE,2c9b9017-a5ef-4b95-9467-b58fd089ee81,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2c9b9017-a5ef-4b95-9467-b58fd089ee81
2022-01-28 22:10,DeMar DeRozan,Base Set,Common,2,Jump Shot,2021-01-30 01:30:00+00:00,San Antonio Spurs,40000,35430,0,2769,1827,0,12,18.00,-5.26,0.00,12.50,1242,False,False,False,False,VISIBLE,e65450c1-c4fa-452c-9108-79e3c3f78699,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e65450c1-c4fa-452c-9108-79e3c3f78699
2022-01-28 22:10,Rudy Gay,Base Set,Common,2,Dunk,2021-01-23 01:30:00+00:00,San Antonio Spurs,40000,35321,0,2934,1816,0,12,5.00,0.00,25.00,25.00,2014,False,False,False,False,VISIBLE,7f46e797-e9d3-4db0-81f2-bfb0e7a92973,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+7f46e797-e9d3-4db0-81f2-bfb0e7a92973
2022-01-28 22:10,Royce O'Neale,Base Set,Common,2,Dunk,2021-01-13 00:30:00+00:00,Utah Jazz,12000,11122,0,596,285,0,12,33.00,-15.38,17.86,26.92,401,True,False,False,False,VISIBLE,73015da9-837e-44e6-852b-fbaf95fc35a4,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+73015da9-837e-44e6-852b-fbaf95fc35a4
2022-01-28 22:10,Rui Hachimura,Base Set,Common,2,Layup,2021-01-12 00:00:00+00:00,Washington Wizards,40000,35247,0,3023,1794,0,12,5.00,25.00,0.00,0.00,2294,False,False,False,False,VISIBLE,0c23b07f-ac0e-4e70-aa01-fe903eee63fb,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+0c23b07f-ac0e-4e70-aa01-fe903eee63fb
2022-01-28 22:11,Victor Oladipo,Base Set,Common,2,Layup,2021-01-27 01:00:00+00:00,Houston Rockets,35125,31722,0,2176,1277,0,12,5.00,0.00,0.00,25.00,2464,False,False,False,False,VISIBLE,6a37ac54-7e87-4000-bda7-67a507181122,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+6a37ac54-7e87-4000-bda7-67a507181122
2022-01-28 22:11,Pascal Siakam,Base Set,Common,2,Layup,2021-01-19 00:30:00+00:00,Toronto Raptors,35000,31665,0,2144,1215,0,12,8.00,0.00,14.29,14.29,1726,False,False,False,False,VISIBLE,6f4a19dd-129f-4dc7-bb79-20bb29237356,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+6f4a19dd-129f-4dc7-bb79-20bb29237356
2022-01-28 22:10,Eric Gordon,Base Set,Common,2,Layup,2021-01-11 00:00:00+00:00,Houston Rockets,40000,35013,0,3237,1872,0,12,4.00,0.00,0.00,0.00,2348,False,False,False,False,VISIBLE,f7ff5b5c-494f-4240-a74f-bea14db4e175,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+f7ff5b5c-494f-4240-a74f-bea14db4e175
2022-01-28 22:10,Eric Paschall,Base Set,Common,2,Layup,2021-01-29 03:00:00+00:00,Golden State Warriors,40000,35259,0,3064,1763,0,12,5.00,0.00,0.00,0.00,1346,False,False,False,False,VISIBLE,997c9484-8b1e-49bc-8378-a2a981d8bf65,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+997c9484-8b1e-49bc-8378-a2a981d8bf65
2022-01-28 22:10,Draymond Green,Base Set,Common,2,Assist,2021-02-05 00:30:00+00:00,Golden State Warriors,35000,31736,0,2097,1188,0,12,5.00,0.00,0.00,0.00,2124,False,False,False,False,VISIBLE,0153c84a-2eee-48a2-9795-de1eb307ccb3,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+0153c84a-2eee-48a2-9795-de1eb307ccb3
2022-01-28 22:10,Damian Lillard,Base Set,Common,2,3 Pointer,2021-01-31 01:00:00+00:00,Portland Trail Blazers,35000,31925,0,1890,1200,0,12,6.00,0.00,0.00,0.00,2324,False,False,False,False,VISIBLE,d11030a2-836a-4f4c-8a54-467e03127784,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d11030a2-836a-4f4c-8a54-467e03127784
2022-01-28 22:10,Devin Booker,Base Set,Common,2,3 Pointer,2021-02-02 01:30:00+00:00,Phoenix Suns,35000,31809,0,2023,1186,0,12,5.00,0.00,-16.67,0.00,2253,False,False,False,False,VISIBLE,b3e0e414-3461-4e22-a2cd-fae4fcdd4527,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+b3e0e414-3461-4e22-a2cd-fae4fcdd4527
2022-01-28 22:10,Robert Covington,Base Set,Common,2,Assist,2021-01-25 03:00:00+00:00,Portland Trail Blazers,12000,11095,0,624,282,0,12,72.00,4.35,5.88,-5.26,240,True,False,False,False,VISIBLE,1be41891-a4f3-4ffc-a079-b9f4b60d2eca,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+1be41891-a4f3-4ffc-a079-b9f4b60d2eca
2022-01-28 22:10,Glenn Robinson III,Base Set,Common,2,Layup,2021-01-21 03:00:00+00:00,Sacramento Kings,12000,11160,0,569,273,0,12,18.00,0.00,0.00,5.88,499,True,False,False,False,VISIBLE,9c93665e-b213-4131-9cde-b19442a39fcb,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9c93665e-b213-4131-9cde-b19442a39fcb
2022-01-28 22:10,CJ McCollum,Base Set,Common,2,Handles,2021-01-12 03:00:00+00:00,Portland Trail Blazers,40000,35421,0,2848,1758,0,12,7.00,16.67,0.00,-12.50,1698,False,False,False,False,VISIBLE,b2cf1101-71d8-4870-992f-1b5e2cd937e7,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+b2cf1101-71d8-4870-992f-1b5e2cd937e7
2022-01-28 22:10,Avery Bradley,Base Set,Common,2,Layup,2020-12-31 00:30:00+00:00,Miami Heat,12000,11134,0,575,291,0,12,17.00,-5.56,0.00,30.77,505,True,False,False,False,VISIBLE,d7e50e02-88dd-474d-9512-d6586a0cdc46,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d7e50e02-88dd-474d-9512-d6586a0cdc46
2022-01-28 22:10,Hassan Whiteside,Base Set,Common,2,Block,2021-01-05 03:00:00+00:00,Sacramento Kings,40000,35289,0,2997,1801,0,12,5.00,0.00,0.00,0.00,2123,False,False,False,False,VISIBLE,83f873be-7169-44ff-8e15-cdc92f5edfc9,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+83f873be-7169-44ff-8e15-cdc92f5edfc9
2022-01-28 22:10,Matisse Thybulle,Base Set,Common,2,Steal,2021-01-26 00:00:00+00:00,Philadelphia 76ers,35000,31457,0,2327,1262,0,12,5.00,25.00,66.67,25.00,2121,False,False,False,False,VISIBLE,1098394e-13ef-4a89-8440-e60d6ba43508,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+1098394e-13ef-4a89-8440-e60d6ba43508
2022-01-28 22:10,Sean McDermott,Base Set,Common,2,Dunk,2020-12-31 00:30:00+00:00,Memphis Grizzlies,4000,3710,0,201,89,0,12,49.00,0.00,-5.77,-7.55,273,True,True,True,True,VISIBLE,6630310e-76d0-4b01-8184-c131e939c712,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+6630310e-76d0-4b01-8184-c131e939c712
2022-01-28 22:10,Xavier Tillman,Base Set,Common,2,Dunk,2021-01-03 23:00:00+00:00,Memphis Grizzlies,4000,3706,0,198,96,0,12,38.00,0.00,2.70,5.56,362,True,True,True,True,VISIBLE,f22a5586-2e3d-449a-931b-186a98546706,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+f22a5586-2e3d-449a-931b-186a98546706
2022-01-28 22:11,Evan Fournier,Base Set,Common,2,Layup,2021-02-06 00:00:00+00:00,Orlando Magic,35000,31517,0,2327,1207,0,12,5.00,0.00,25.00,0.00,2052,False,False,False,False,VISIBLE,3cd32a2f-8590-4c1d-bdfe-dc00f117b1c4,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3cd32a2f-8590-4c1d-bdfe-dc00f117b1c4
2022-01-28 22:10,Karl-Anthony Towns,Base Set,Common,2,Dunk,2021-01-10 01:00:00+00:00,Minnesota Timberwolves,35000,31791,0,2029,1188,0,12,8.00,14.29,0.00,-11.11,2014,False,False,False,False,VISIBLE,e51ae854-54e7-4111-86d1-1c8f50355491,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e51ae854-54e7-4111-86d1-1c8f50355491
2022-01-28 22:10,Aaron Gordon,Base Set,Common,2,Dunk,2021-01-12 00:00:00+00:00,Orlando Magic,35000,31635,0,2241,1160,0,12,5.00,0.00,0.00,0.00,2157,False,False,False,False,VISIBLE,2deb04a3-0f57-4a37-a810-92959b76ce4a,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2deb04a3-0f57-4a37-a810-92959b76ce4a
2022-01-28 22:11,Jaden McDaniels,Base Set,Common,2,3 Pointer,2020-12-28 03:00:00+00:00,Minnesota Timberwolves,4000,3694,0,211,95,0,12,54.00,1.89,0.00,0.00,277,True,True,True,True,VISIBLE,4d3e4e63-8849-478e-952d-5849472bd808,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4d3e4e63-8849-478e-952d-5849472bd808
2022-01-28 22:11,Anthony Edwards,Base Set,Common,2,Dunk,2021-01-26 03:00:00+00:00,Minnesota Timberwolves,40000,35819,0,2488,1694,0,12,60.00,-6.25,3.45,-20.00,1786,False,False,True,True,VISIBLE,d5321f63-952c-42d5-bf43-9ea99e4e37ce,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d5321f63-952c-42d5-bf43-9ea99e4e37ce
2022-01-28 22:10,Steven Adams,Base Set,Common,2,Dunk,2021-01-18 02:00:00+00:00,New Orleans Pelicans,35000,31522,0,2306,1249,0,12,4.00,0.00,0.00,0.00,1711,False,False,False,False,VISIBLE,a9efcc11-df82-437d-90e2-cb9bf1310c7d,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+a9efcc11-df82-437d-90e2-cb9bf1310c7d
2022-01-28 22:10,Malik Beasley,Base Set,Common,2,Handles,2021-01-11 01:00:00+00:00,Minnesota Timberwolves,40000,35572,0,2703,1761,0,12,7.00,-12.50,-12.50,-22.22,1611,False,False,False,False,VISIBLE,5cd75a86-c7dc-45da-b1b4-475297f5781c,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+5cd75a86-c7dc-45da-b1b4-475297f5781c
2022-01-28 22:10,Donte DiVincenzo,Base Set,Common,2,Layup,2021-01-25 01:00:00+00:00,Milwaukee Bucks,40000,35518,0,2694,1801,0,12,6.00,-14.29,0.00,-14.29,1687,False,False,False,False,VISIBLE,9c87a11b-0e0c-4277-94aa-bc587ea3f66d,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9c87a11b-0e0c-4277-94aa-bc587ea3f66d
